,titles,images,ratings,price
364,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.0 out of 5 stars,"₹39,490"
365,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN",https://m.media-amazon.com/images/I/710hhin8IyL._AC_UY218_.jpg,4.0 out of 5 stars,"₹42,990"
366,"Acer Aspire Lite, AMD Ryzen 5 5625U Processor(16GB RAM/512GB SSD) Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Premium Metal Body, Thin and Light Laptop",https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,490"
367,"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light",https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UY218_.jpg,3.8 out of 5 stars,"₹34,990"
368,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/71o7b6YJMfL._AC_UY218_.jpg,3.8 out of 5 stars,"₹32,950"
369,"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu",https://m.media-amazon.com/images/I/71+gQ9gOTuL._AC_UY218_.jpg,4.2 out of 5 stars,"₹33,999"
370,"HP 15s, AMD Ryzen 5 5500U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, HD Camera, Dual Speakers, eq2144AU",https://m.media-amazon.com/images/I/71-I1PNzLSL._AC_UY218_.jpg,4.1 out of 5 stars,"₹37,422"
371,"HP Victus, AMD Ryzen 5 5600H, AMD Radeon RX 6500 Graphics, 8GB DDR4, 512GB SSD, IPS, 15.6-inch(39.6cm) FHD Gaming Laptop, Enhanced Cooling (Win 11, Blue, 2.37kg) fb0147AX/fb0184AX",https://m.media-amazon.com/images/I/71hC42cKbsL._AC_UY218_.jpg,3.6 out of 5 stars,"₹49,990"
372,"Lenovo IdeaPad Slim 3 13th Gen Core i3-1305U (8GB RAM/512GB SSD/Integrated Intel UHD Graphics/14 inch (35.5cm)/Windows 11/ MS Office 2021/Grey/1.3Kg), 82X6004GIN Thin & Light Laptop",https://m.media-amazon.com/images/I/81adHsgHydL._AC_UY218_.jpg,4.1 out of 5 stars,"₹40,000"
373,"Lenovo V15 12th Gen Intel Core i7-1255U 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA073IN",https://m.media-amazon.com/images/I/719+CaSnPxL._AC_UY218_.jpg,3.2 out of 5 stars,"₹49,990"
374,"Lenovo IdeaPad Slim 5 Snapdragon X Plus X1P-42-100 (16GB RAM/1TB SSD/Integrated Qualcomm Adreno/Copilot+ PC/WUXGA IPS Display/14 (35.5cm)/Windows 11/MS Office 2021/Grey/1.89Kg), 83HL0035IN AI Laptop",https://m.media-amazon.com/images/I/81Hlhi09+-L._AC_UY218_.jpg,5.0 out of 5 stars,"₹74,990"
375,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop",https://m.media-amazon.com/images/I/81Tj8G57-WL._AC_UY218_.jpg,3.9 out of 5 stars,"₹52,890"
376,"ASUS TUF Gaming, AMD Ryzen AI 9 HX 370, 2.0GHz, NVIDIA GeForce RTX 4060, 32GB RAM, 2TB SSD, FHD 165Hz 400nits, 14"", Windows 11, MS Office 2021, Jaeger Gray, 1.46KG, FA401WV-RG037WS Gaming Laptop",https://m.media-amazon.com/images/I/71pVO1U9oeL._AC_UY218_.jpg,4.3 out of 5 stars,"₹1,64,990"
377,"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey",https://m.media-amazon.com/images/I/71f5Eu5lJSL._AC_UY218_.jpg,4.4 out of 5 stars,"₹76,990"
378,"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX",https://m.media-amazon.com/images/I/71J2F-6lIPL._AC_UY218_.jpg,4.1 out of 5 stars,"₹60,990"
379,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H 12th Gen, 16GB RAM, 512GB SSD, FHD 250Nits, 14""/35.5cm, Windows 11, MSOffice 21, Grey, 1.37Kg, 83EQ005VIN,1Yr Warranty,Alexa Built-in,3 mon. GamePass Laptop",https://m.media-amazon.com/images/I/81fvJauBWDL._AC_UY218_.jpg,3.9 out of 5 stars,"₹52,390"
380,"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty",https://m.media-amazon.com/images/I/41XYpjPaftL._AC_UY218_.jpg,3.0 out of 5 stars,"₹39,990"
381,"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop",https://m.media-amazon.com/images/I/71gaqhm080L._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,990"
382,"HP Pavilion 14, 12th Gen Intel Core i7-1255U, 16GB DDR4, 1TB SSD, (Win11, Office21, Silver,1.41 kg), IPS, Micro-edge, BrightView,14-inch (35.6cm) FHD Laptop, Intel Iris Xe graphics, HD camera,dv2015TU",https://m.media-amazon.com/images/I/71YqSAgKL7L._AC_UY218_.jpg,4.0 out of 5 stars,"₹72,690"
383,"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 256GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, Intel UHD Graphics, Full-Size KB (Win 11, Office 21, Silver, 1.69kg) fy5010tu",https://m.media-amazon.com/images/I/71qiPf4GlIL._AC_UY218_.jpg,4.0 out of 5 stars,"₹30,999"
384,"Lenovo Smartchoice LOQ, Intel Core i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83GS003UIN, Gaming Laptop",https://m.media-amazon.com/images/I/81tmCrtiRgL._AC_UY218_.jpg,4.0 out of 5 stars,"₹72,190"
385,"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop",https://m.media-amazon.com/images/I/71gaqhm080L._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,990"
386,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.0 out of 5 stars,"₹39,490"
387,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN",https://m.media-amazon.com/images/I/710hhin8IyL._AC_UY218_.jpg,4.0 out of 5 stars,"₹42,990"
388,"Acer Aspire Lite, AMD Ryzen 5 5625U Processor(16GB RAM/512GB SSD) Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Premium Metal Body, Thin and Light Laptop",https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,490"
389,"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light",https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UY218_.jpg,3.8 out of 5 stars,"₹34,990"
390,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/71o7b6YJMfL._AC_UY218_.jpg,3.8 out of 5 stars,"₹32,950"
391,"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu",https://m.media-amazon.com/images/I/71+gQ9gOTuL._AC_UY218_.jpg,4.2 out of 5 stars,"₹33,999"
392,"HP 15s, AMD Ryzen 5 5500U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, HD Camera, Dual Speakers, eq2144AU",https://m.media-amazon.com/images/I/71-I1PNzLSL._AC_UY218_.jpg,4.1 out of 5 stars,"₹37,422"
393,"HP Victus, AMD Ryzen 5 5600H, AMD Radeon RX 6500 Graphics, 8GB DDR4, 512GB SSD, IPS, 15.6-inch(39.6cm) FHD Gaming Laptop, Enhanced Cooling (Win 11, Blue, 2.37kg) fb0147AX/fb0184AX",https://m.media-amazon.com/images/I/71hC42cKbsL._AC_UY218_.jpg,3.6 out of 5 stars,"₹49,990"
394,"Lenovo IdeaPad Slim 3 13th Gen Core i3-1305U (8GB RAM/512GB SSD/Integrated Intel UHD Graphics/14 inch (35.5cm)/Windows 11/ MS Office 2021/Grey/1.3Kg), 82X6004GIN Thin & Light Laptop",https://m.media-amazon.com/images/I/81adHsgHydL._AC_UY218_.jpg,4.1 out of 5 stars,"₹40,000"
395,"Lenovo V15 12th Gen Intel Core i7-1255U 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA073IN",https://m.media-amazon.com/images/I/719+CaSnPxL._AC_UY218_.jpg,3.2 out of 5 stars,"₹49,990"
396,"Lenovo IdeaPad Slim 5 Snapdragon X Plus X1P-42-100 (16GB RAM/1TB SSD/Integrated Qualcomm Adreno/Copilot+ PC/WUXGA IPS Display/14 (35.5cm)/Windows 11/MS Office 2021/Grey/1.89Kg), 83HL0035IN AI Laptop",https://m.media-amazon.com/images/I/81Hlhi09+-L._AC_UY218_.jpg,5.0 out of 5 stars,"₹74,990"
397,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop",https://m.media-amazon.com/images/I/81Tj8G57-WL._AC_UY218_.jpg,3.9 out of 5 stars,"₹52,890"
398,"ASUS TUF Gaming, AMD Ryzen AI 9 HX 370, 2.0GHz, NVIDIA GeForce RTX 4060, 32GB RAM, 2TB SSD, FHD 165Hz 400nits, 14"", Windows 11, MS Office 2021, Jaeger Gray, 1.46KG, FA401WV-RG037WS Gaming Laptop",https://m.media-amazon.com/images/I/71pVO1U9oeL._AC_UY218_.jpg,4.3 out of 5 stars,"₹1,64,990"
399,"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey",https://m.media-amazon.com/images/I/71f5Eu5lJSL._AC_UY218_.jpg,4.4 out of 5 stars,"₹76,990"
400,"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX",https://m.media-amazon.com/images/I/71J2F-6lIPL._AC_UY218_.jpg,4.1 out of 5 stars,"₹60,990"
401,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H 12th Gen, 16GB RAM, 512GB SSD, FHD 250Nits, 14""/35.5cm, Windows 11, MSOffice 21, Grey, 1.37Kg, 83EQ005VIN,1Yr Warranty,Alexa Built-in,3 mon. GamePass Laptop",https://m.media-amazon.com/images/I/81fvJauBWDL._AC_UY218_.jpg,3.9 out of 5 stars,"₹52,390"
402,"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty",https://m.media-amazon.com/images/I/41XYpjPaftL._AC_UY218_.jpg,3.0 out of 5 stars,"₹39,990"
403,"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop",https://m.media-amazon.com/images/I/71gaqhm080L._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,990"
404,"HP Pavilion 14, 12th Gen Intel Core i7-1255U, 16GB DDR4, 1TB SSD, (Win11, Office21, Silver,1.41 kg), IPS, Micro-edge, BrightView,14-inch (35.6cm) FHD Laptop, Intel Iris Xe graphics, HD camera,dv2015TU",https://m.media-amazon.com/images/I/71YqSAgKL7L._AC_UY218_.jpg,4.0 out of 5 stars,"₹72,690"
405,"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 256GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, Intel UHD Graphics, Full-Size KB (Win 11, Office 21, Silver, 1.69kg) fy5010tu",https://m.media-amazon.com/images/I/71qiPf4GlIL._AC_UY218_.jpg,4.0 out of 5 stars,"₹30,999"
406,"Lenovo Smartchoice LOQ, Intel Core i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83GS003UIN, Gaming Laptop",https://m.media-amazon.com/images/I/81tmCrtiRgL._AC_UY218_.jpg,4.0 out of 5 stars,"₹72,190"
407,"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop",https://m.media-amazon.com/images/I/71gaqhm080L._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,990"
408,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.0 out of 5 stars,"₹39,490"
409,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN",https://m.media-amazon.com/images/I/710hhin8IyL._AC_UY218_.jpg,4.0 out of 5 stars,"₹42,990"
410,"Acer Aspire Lite, AMD Ryzen 5 5625U Processor(16GB RAM/512GB SSD) Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Premium Metal Body, Thin and Light Laptop",https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,490"
411,"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light",https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UY218_.jpg,3.8 out of 5 stars,"₹34,990"
412,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/71o7b6YJMfL._AC_UY218_.jpg,3.8 out of 5 stars,"₹32,950"
413,"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu",https://m.media-amazon.com/images/I/71+gQ9gOTuL._AC_UY218_.jpg,4.2 out of 5 stars,"₹33,999"
414,"HP 15s, AMD Ryzen 5 5500U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, HD Camera, Dual Speakers, eq2144AU",https://m.media-amazon.com/images/I/71-I1PNzLSL._AC_UY218_.jpg,4.1 out of 5 stars,"₹37,422"
415,"HP Victus, AMD Ryzen 5 5600H, AMD Radeon RX 6500 Graphics, 8GB DDR4, 512GB SSD, IPS, 15.6-inch(39.6cm) FHD Gaming Laptop, Enhanced Cooling (Win 11, Blue, 2.37kg) fb0147AX/fb0184AX",https://m.media-amazon.com/images/I/71hC42cKbsL._AC_UY218_.jpg,3.6 out of 5 stars,"₹49,990"
416,"Lenovo IdeaPad Slim 3 13th Gen Core i3-1305U (8GB RAM/512GB SSD/Integrated Intel UHD Graphics/14 inch (35.5cm)/Windows 11/ MS Office 2021/Grey/1.3Kg), 82X6004GIN Thin & Light Laptop",https://m.media-amazon.com/images/I/81adHsgHydL._AC_UY218_.jpg,4.1 out of 5 stars,"₹40,000"
417,"Lenovo V15 12th Gen Intel Core i7-1255U 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg), 82TTA073IN",https://m.media-amazon.com/images/I/719+CaSnPxL._AC_UY218_.jpg,3.2 out of 5 stars,"₹49,990"
418,"Lenovo IdeaPad Slim 5 Snapdragon X Plus X1P-42-100 (16GB RAM/1TB SSD/Integrated Qualcomm Adreno/Copilot+ PC/WUXGA IPS Display/14 (35.5cm)/Windows 11/MS Office 2021/Grey/1.89Kg), 83HL0035IN AI Laptop",https://m.media-amazon.com/images/I/81Hlhi09+-L._AC_UY218_.jpg,5.0 out of 5 stars,"₹74,990"
419,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop",https://m.media-amazon.com/images/I/81Tj8G57-WL._AC_UY218_.jpg,3.9 out of 5 stars,"₹52,890"
420,"ASUS TUF Gaming, AMD Ryzen AI 9 HX 370, 2.0GHz, NVIDIA GeForce RTX 4060, 32GB RAM, 2TB SSD, FHD 165Hz 400nits, 14"", Windows 11, MS Office 2021, Jaeger Gray, 1.46KG, FA401WV-RG037WS Gaming Laptop",https://m.media-amazon.com/images/I/71pVO1U9oeL._AC_UY218_.jpg,4.3 out of 5 stars,"₹1,64,990"
421,"Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Space Grey",https://m.media-amazon.com/images/I/71f5Eu5lJSL._AC_UY218_.jpg,4.4 out of 5 stars,"₹76,990"
422,"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX",https://m.media-amazon.com/images/I/71J2F-6lIPL._AC_UY218_.jpg,4.1 out of 5 stars,"₹60,990"
423,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H 12th Gen, 16GB RAM, 512GB SSD, FHD 250Nits, 14""/35.5cm, Windows 11, MSOffice 21, Grey, 1.37Kg, 83EQ005VIN,1Yr Warranty,Alexa Built-in,3 mon. GamePass Laptop",https://m.media-amazon.com/images/I/81fvJauBWDL._AC_UY218_.jpg,3.9 out of 5 stars,"₹52,390"
424,"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty",https://m.media-amazon.com/images/I/41XYpjPaftL._AC_UY218_.jpg,3.0 out of 5 stars,"₹39,990"
425,"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop",https://m.media-amazon.com/images/I/71gaqhm080L._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,990"
426,"HP Pavilion 14, 12th Gen Intel Core i7-1255U, 16GB DDR4, 1TB SSD, (Win11, Office21, Silver,1.41 kg), IPS, Micro-edge, BrightView,14-inch (35.6cm) FHD Laptop, Intel Iris Xe graphics, HD camera,dv2015TU",https://m.media-amazon.com/images/I/71YqSAgKL7L._AC_UY218_.jpg,4.0 out of 5 stars,"₹72,690"
427,"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 256GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, Intel UHD Graphics, Full-Size KB (Win 11, Office 21, Silver, 1.69kg) fy5010tu",https://m.media-amazon.com/images/I/71qiPf4GlIL._AC_UY218_.jpg,4.0 out of 5 stars,"₹30,999"
428,"Lenovo Smartchoice LOQ, Intel Core i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83GS003UIN, Gaming Laptop",https://m.media-amazon.com/images/I/81tmCrtiRgL._AC_UY218_.jpg,4.0 out of 5 stars,"₹72,190"
429,"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop",https://m.media-amazon.com/images/I/71gaqhm080L._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,990"
430,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.0 out of 5 stars,"₹39,490"
431,"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (Free MS Office) Lifetime (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) 1 Year Brand Warranty, 83CRA01SIN",https://m.media-amazon.com/images/I/710hhin8IyL._AC_UY218_.jpg,4.0 out of 5 stars,"₹42,990"
432,"Acer Aspire Lite, AMD Ryzen 5 5625U Processor(16GB RAM/512GB SSD) Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Premium Metal Body, Thin and Light Laptop",https://m.media-amazon.com/images/I/61fDHkQ6MqL._AC_UY218_.jpg,4.0 out of 5 stars,"₹34,490"
433,"Dell [Smartchoice] Windows 11 Home 3520 Laptop, Intel Core i3-1215U, 12Th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /15 Month Mcafee /Black /1.69Kg Thin & Light",https://m.media-amazon.com/images/I/61-Y-eWXqtL._AC_UY218_.jpg,3.8 out of 5 stars,"₹34,990"
434,"Acer Aspire Lite 13th Gen Intel Core i3-1305U Thin and Light Premium Laptop (Windows 11 Home/8 GB RAM/512GB SSD/36 WHR) AL15-53 with 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG",https://m.media-amazon.com/images/I/71o7b6YJMfL._AC_UY218_.jpg,3.8 out of 5 stars,"₹32,950"
435,"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 512 GB SSD(Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6inch(39.6Cm), FHD Laptop, Intel UHD Graphics, Dual Speakers, HD Camera, fy5006tu",https://m.media-amazon.com/images/I/71+gQ9gOTuL._AC_UY218_.jpg,4.2 out of 5 stars,"₹33,999"
436,"HP 15s, AMD Ryzen 5 5500U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, HD Camera, Dual Speakers, eq2144AU",https://m.media-amazon.com/images/I/71-I1PNzLSL._AC_UY218_.jpg,4.1 out of 5 stars,"₹37,422"
437,"HP Victus, AMD Ryzen 5 5600H, AMD Radeon RX 6500 Graphics, 8GB DDR4, 512GB SSD, IPS, 15.6-inch(39.6cm) FHD Gaming Laptop, Enhanced Cooling (Win 11, Blue, 2.37kg) fb0147AX/fb0184AX",https://m.media-amazon.com/images/I/71hC42cKbsL._AC_UY218_.jpg,3.6 out of 5 stars,"₹49,990"
438,"Lenovo IdeaPad Slim 3 13th Gen Core i3-1305U (8GB RAM/512GB SSD/Integrated Intel UHD Graphics/14 inch (35.5cm)/Windows 11/ MS Office 2021/Grey/1.3Kg), 82X6004GIN Thin & Light Laptop",https://m.media-amazon.com/images/I/81adHsgHydL._AC_UY218_.jpg,4.1 out of 5 stars,"₹40,000"
